ID;Scope;Kategorie;Spezifikation 1;Spezifikation 2;Spezifikation 3;Zusatzname;Kommentar;Eingang;Ausgang;Quelle;Faktor;Monatliche Eingaben;Wert-Jan (monatlich);Wert Feb (monatlich);Wert Mar (monatlich);Wert Apr (monatlich);Wert May (monatlich);Wert Jun (monatlich);Wert Jul (monatlich);Wert Aug (monatlich);Wert Sep (monatlich);Wert Oct (monatlich);Wert Nov (monatlich);Wert Dec (monatlich);Überliegende Berechnung (ID);Projekt
56ueccumbbichfm;3;Mineralien und Baustoffe; Bausand; Bausand;;;;kg;kg;EEW 2023;0,005;0;0;0;0;0;0;0;0;0;0;0;0;0;;
728r18m9meqoz1y;1;Technische Gase; Fluorethan;;;;;kg;kg;UBA;12;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ttard1egy6xuq7s;3;Chemische Grundstoffe und Produkte; Harnstoff;;;;;kg;kg;Gemis 5.1;0,703;0;0;0;0;0;0;0;0;0;0;0;0;0;;
6d4rjguekflofdb;1;Technische Gase; n-Butan;;;;;kg;kg;UBA;4;0;0;0;0;0;0;0;0;0;0;0;0;0;;
c2zuraqs7cu03rg;1;Technische Gase; Propen;;;;;kg;kg;UBA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;
najo9vk70n00n8z;3;Chemische Grundstoffe und Produkte; Steinsalz;;;;;kg;kg;Gemis 5.1;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;;
zfap7yglttw938m;3;Holz, Papier und Pappe; Sulfatzellstoff; Sulfatzellstoff;;;;kg;kg;EEW 2023;0,35;0;0;0;0;0;0;0;0;0;0;0;0;0;;
14jblmbzd5s35fm;3;Holz, Papier und Pappe; Sulfitzellstoff; Sulfitzellstoff;;;;kg;kg;EEW 2023;1,09;0;0;0;0;0;0;0;0;0;0;0;0;0;;
icu4q0drzda13ha;3;Chemische Grundstoffe und Produkte;(1-Methylethyl)benzol;;; C9H12;;kg;kg;EEW 2023;2,32;0;0;0;0;0;0;0;0;0;0;0;0;0;;
zvr6u67zn3giyl8;3;Chemische Grundstoffe und Produkte;(e)-But-3-en;;; C4H8;;kg;kg;EEW 2023;1,62;0;0;0;0;0;0;0;0;0;0;0;0;0;;
vonf7eb199xiyro;3;Chemische Grundstoffe und Produkte;(Propan-2-yl)benzen;;; C9H12;;kg;kg;EEW 2023;2,32;0;0;0;0;0;0;0;0;0;0;0;0;0;;
utqu7jjvhvb7co2;3;Chemische Grundstoffe und Produkte;(Z)-But-2-en;;; C4H8;;kg;kg;EEW 2023;1,62;0;0;0;0;0;0;0;0;0;0;0;0;0;;
t787tgg2mtdny47;3;Chemische Grundstoffe und Produkte;1-Butanol;;;;;kg;kg;EEW 2023;3,26;0;0;0;0;0;0;0;0;0;0;0;0;0;;
8in8ewqi256byzd;3;Chemische Grundstoffe und Produkte;1-Methylethyl;;;;;kg;kg;Gemis 5.1;1,925;0;0;0;0;0;0;0;0;0;0;0;0;0;;
6zwl9vc1lmuqhi8;3;Chemische Grundstoffe und Produkte;1,2-Dicholorethan;;;;;kg;kg;EEW 2023;0,97;0;0;0;0;0;0;0;0;0;0;0;0;0;;
zyv1my8jvu638z3;3;Chemische Grundstoffe und Produkte;1,2-Dihydroxypropan;;; C3H8O2;;kg;kg;EEW 2023;3,68;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ie596otukh6uymr;3;Chemische Grundstoffe und Produkte;1,2-Epoxyethan;;; C2H4O;;kg;kg;EEW 2023;1,85;0;0;0;0;0;0;0;0;0;0;0;0;0;;
xym0biegosmepgw;3;Chemische Grundstoffe und Produkte;1,2-Epoxypropan;;; C3H6O;;kg;kg;EEW 2023;4,1;0;0;0;0;0;0;0;0;0;0;0;0;0;;
p31qq9qogl6hyd4;3;Chemische Grundstoffe und Produkte;1,2-Propandiol;;; C3H8O2;;kg;kg;EEW 2023;3,68;0;0;0;0;0;0;0;0;0;0;0;0;0;;
qlia90g7uuhx21k;3;Chemische Grundstoffe und Produkte;1,2-Propylenglycol;;; C3H8O2;;kg;kg;EEW 2023;3,68;0;0;0;0;0;0;0;0;0;0;0;0;0;;
epkfuxyq76n6us8;3;Chemische Grundstoffe und Produkte;1,3-Butadien;;;;;kg;kg;EEW 2023;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;;
bs249m30nu2jbcn;3;Chemische Grundstoffe und Produkte;1,3-Dioxophthalon;;;C8H4O3;;kg;kg;EEW 2023;2,61;0;0;0;0;0;0;0;0;0;0;0;0;0;;
pjbbe3mj4a20co0;3;Chemische Grundstoffe und Produkte;1,3-Isobenzofurandion;;;C8H4O3;;kg;kg;EEW 2023;2,61;0;0;0;0;0;0;0;0;0;0;0;0;0;;
f9zffx5w4fjlfyp;3;Chemische Grundstoffe und Produkte;1,4-Dimethylbenzen;;;;;kg;kg;EEW 2023;1,73;0;0;0;0;0;0;0;0;0;0;0;0;0;;
8wuow52d0r1l0li;3;Chemische Grundstoffe und Produkte;1,4-Dimethylbenzol;;;;;kg;kg;EEW 2023;1,73;0;0;0;0;0;0;0;0;0;0;0;0;0;;
a9qn39jjoyrq27u;3;Chemische Grundstoffe und Produkte;2- Phenylpropan;;;;;kg;kg;Gemis 5.1;2,239;0;0;0;0;0;0;0;0;0;0;0;0;0;;
mt4wonwf71wka8u;3;Chemische Grundstoffe und Produkte;2-Benzofuran-1,3-dion;;;C8H4O3;;kg;kg;EEW 2023;2,61;0;0;0;0;0;0;0;0;0;0;0;0;0;;
pdwxka6agedygsv;3;Chemische Grundstoffe und Produkte;2-Methyloxiran;;; C3H6O;;kg;kg;EEW 2023;4,1;0;0;0;0;0;0;0;0;0;0;0;0;0;;
0r9qj0uqk8zhzsg;3;Chemische Grundstoffe und Produkte;2-Methylprop-1-en;;; C4H8;;kg;kg;EEW 2023;1,62;0;0;0;0;0;0;0;0;0;0;0;0;0;;
do4i05supd56g9i;3;Chemische Grundstoffe und Produkte;2-Phenylpropan;;; C9H12;;kg;kg;EEW 2023;2,32;0;0;0;0;0;0;0;0;0;0;0;0;0;;
7i5zif4oz2aedww;3;Chemische Grundstoffe und Produkte;2-Propanol;;;;hochrein;kg;kg;Gemis 5.1;1,697;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ymw81nuoyu0pekr;3;Kunststoff;A/B/A;;;;;kg;kg;ÖKOBAUDAT;2,86;0;0;0;0;0;0;0;0;0;0;0;0;0;;
257gu6jn4mht8vs;3;Kunststoff;ABS;;;;;kg;kg;ProBas;3,76;0;0;0;0;0;0;0;0;0;0;0;0;0;;
gy94hnkpfat4rmn;3;Entsorgung;Abwasser;;;;;l;kg;Probas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ln0qo9tbfj4lczv;3;Wasser;Abwasser;;;;;l;kg;Probas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ctebyk389eb96cz;3;Entsorgung;Abwasser;;;;;m³;l;Probas;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;gy94hnkpfat4rmn;
rqpyz0q6riuz2ud;3;Wasser;Abwasser;;;;;m³;l;Probas;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;ln0qo9tbfj4lczv;
37c7sil5d26540r;3;Chemische Grundstoffe und Produkte;Acetan;;; C2H4;;kg;kg;EEW 2023;1,46;0;0;0;0;0;0;0;0;0;0;0;0;0;;
h1p4r4sij8rxfdu;3;Chemische Grundstoffe und Produkte;Acetclen;;;;;kg;kg;EEW 2023;2,98;0;0;0;0;0;0;0;0;0;0;0;0;0;;
qlikklmtjeddtqy;3;Chemische Grundstoffe und Produkte;Aceton;;; C3H6O;;kg;kg;EEW 2023;4,1;0;0;0;0;0;0;0;0;0;0;0;0;0;;
offyhjyz1cfj8dm;3;Chemische Grundstoffe und Produkte;Acetoxylsäure;;;;;kg;kg;Gemis 5.1;2,645;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ht1eeyzw1x5vl0f;3;Chemische Grundstoffe und Produkte;Acetoxylsäure;;; C2H4O2;;kg;kg;EEW 2023;1,63;0;0;0;0;0;0;0;0;0;0;0;0;0;;
87b84yunqrezw9g;3;Chemische Grundstoffe und Produkte;Acetylsäure;;; C2H4O2;;kg;kg;EEW 2023;1,63;0;0;0;0;0;0;0;0;0;0;0;0;0;;
7b42lcd31dzxa51;3;Kunststoff;Acrylat;;;;;kg;kg;ÖKOBAUDAT;2,86;0;0;0;0;0;0;0;0;0;0;0;0;0;;
zgvnk0z3hlzh4x9;3;Kunststoff;Acrylnitril;;;;;kg;kg;ÖKOBAUDAT;2,86;0;0;0;0;0;0;0;0;0;0;0;0;0;;
vq49mwz1n8aaaz9;3;Kunststoff;Acrylnitril-Butadien-Styrol;;;;;kg;kg;ProBas;3,76;0;0;0;0;0;0;0;0;0;0;0;0;0;;
rmk0yapehsnmh2g;3;Metalle;Adamin;;;;;kg;kg;EEW 2023;0,51;0;0;0;0;0;0;0;0;0;0;0;0;0;;
t43se9kif4x9tqr;3;Chemische Grundstoffe und Produkte;Adipinsäure;;;;;kg;kg;EEW 2023;13,2;0;0;0;0;0;0;0;0;0;0;0;0;0;;
